year,pred_final,amount_ugx,url,title,sentence
2024,land_row_dispute,3000000000.0,https://observer.ug/news/speaker-among-blocks-debate-on-parliament-corruption/,Speaker Among blocks debate on parliament corruption,"The opposition also wants a transparent explanation of how Mama Bukedea FM, a local radio station owned and situated in Among’s constituency purportedly secured a Shs 3 billion advertising contract from parliament."
2021,land_row_dispute,10000000.0,https://observer.ug/news/former-minister-kabafunzaki-found-guilty-of-corruption-fined-shs-10m/,"Former minister Kabafunzaki found guilty of corruption, fined Shs 10m",The judge issued a warrant of arrest directing security agencies to arrest Kabafunzaki on-site and produce him in the court to comply with the respective orders and sentence.
2021,land_row_dispute,10000000.0,https://observer.ug/news/former-minister-kabafunzaki-found-guilty-of-corruption-fined-shs-10m/,"Former minister Kabafunzaki found guilty of corruption, fined Shs 10m",Kabafunzaki abandoned the trial in March 2021 when it was in its advanced stages pending the opinion of court accessors and judgement.
2024,land_row_dispute,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,The authority also claimed that there was no evidence of renovation works around the period Nalule cited.
2024,procurement_irregularity,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"However, Nalule’s legal team, led by Nicholas Ssenkumbi, maintained that KCCA failed to meet its statutory obligations under the Kampala Capital City Act, which mandates maintaining roads, drains, and streetlights."
2024,quality_technical_defect,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,He stated that KCCA had been conducting roadworks under a solicitation project but failed to ensure the manholes were covered or to place warning signs.
2024,land_row_dispute,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,“The defendant/KCCA was carrying out some works on the road under a solicitation project and it was duty bound to cover those manholes or put signs/barriers to alert road users or city dwellers about the eminent risk and danger.
2024,quality_technical_defect,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"The failure to take reasonable steps to warn the public was a breach of duty,” said Ssekaana."
2024,land_row_dispute,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,Precedents of negligence This ruling adds to a history of legal actions against KCCA for failing to maintain city infrastructure.
2024,land_row_dispute,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"In November 2021, justice Michael Elubu ruled in favour of Legal Brain Trust, which had sued KCCA and the government for failing to protect Kampala residents from unsafe roads, drainage systems, and related infrastructure."
2024,land_row_dispute,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"This lawsuit followed the death of a 56-year-old vendor, Cissy Namukasa, who drowned in a drainage channel in Nakawa Division during a storm in 2020."
2024,land_row_dispute,35000000.0,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"Justice Elubu ordered KCCA to submit a comprehensive report to parliament within three months, detailing its efforts to address health and safety hazards posed by unsafe infrastructure."
2023,delay_time_overrun,1300000000.0,https://observer.ug/news/delayed-salaries-luwero-district-pleads-to-banks-to-be-lenient-to-civil-servants/,Delayed salaries: Luwero district pleads to banks to be lenient to civil servants,"In Nakaseke, affected staff were put on notice to anticipate a delay in the payment of salaries for the month of December after the district had a wage shortfall of Shs 1.3 billion according to the second quarter releases made by the ministry of Finance."
2021,delay_time_overrun,2.0,https://observer.ug/news/funeral-services-boss-succumbs-to-covid-19-at-entebbe-airport/,Funeral Services boss succumbs to Covid-19 at Entebbe airport,"The second Covid-19 wave continues to ravage the country, leading to an oxygen shortage crisis in nearly all hospitals and the daily average death of at least 35 people in the last 3-4 weeks although some deaths remain uncaptured as people continue to treat themselves from home due to shortage of hospital beds and hiked medical bills ranging from Shs 2-5 million per day for Covid-19 patients."
2017,delay_time_overrun,1000000000000.0,https://observer.ug/business/private-firms-call-for-laws-to-work-on-government-projects/,Private firms call for laws to work on government projects,A recent World Bank economic update on Uganda said the country loses at least $300m (Shs 1tn) annually in deficiencies related to infrastructure projects.
2022,land_row_dispute,60000000000.0,https://observer.ug/education/stanbic-unveils-shs-600bn-loan-package-to-support-schools-re-opening/,Stanbic unveils Shs 60bn loan package to support schools re-opening,"Furthermore, the bank revealed that its decision to waive all 2021 unpaid accumulated interest on loans to privately owned schools is a proactive initiative based on the understanding that schools have not been earning and that they need to be supported to regain their ability to settle their liabilities."
2018,land_row_dispute,200000000.0,https://observer.ug/news/a-dream-project-saving-girls-from-sexual-trouble/,A dream project saving girls from sexual trouble,Kabasomi said the girls have been given business kits worth Shs 200 million to start businesses.
2024,land_row_dispute,4200000000.0,https://observer.ug/news/museveni-pardons-shs-4-2bn-fraud-convict-kashaka/,Museveni pardons Shs 4.2bn fraud convict Kashaka,"Ssentalo indicated that following the president’s pardon of the sentence and award of compensation, Kashaka was on Thursday released from prison after spending five years, two months and nine days in prison."
2024,contract_management_failure,4200000000.0,https://observer.ug/news/museveni-pardons-shs-4-2bn-fraud-convict-kashaka/,Museveni pardons Shs 4.2bn fraud convict Kashaka,"They also argued that the lower court judge erred in law and fact, when, she failed to apply provisions of the PPDA Act in determining the ingredients of the offence of financial loss committed by the appellants, as a result of the procurement transaction."
2024,contract_management_failure,4200000000.0,https://observer.ug/news/museveni-pardons-shs-4-2bn-fraud-convict-kashaka/,Museveni pardons Shs 4.2bn fraud convict Kashaka,"When AITEL failed to supply, the Attorney General had to sue the Insurance Company that had offered the guarantee and documents like the charge sheet with the names of the convicts, procurement and contracts were brought in that case as exhibits."
