sentence,label,confidence,publication_date,url,title,source
The complaints from the leaders forced the premier to order for the immediate termination of the contract.,contract_management_failure,0.6578841739642306,2021-09-20,https://observer.ug/news/angry-pm-nabbanja-cancels-shs-1-8bn-kyegegwa-road-contract/,Angry PM Nabbanja terminates Shs 1.8bn Kyegegwa road contract,The Observer
They are breaching almost everything in their contract.,contract_management_failure,0.6434368618290658,2019-08-17,https://observer.ug/news/former-makerere-university-ict-director-evicted-from-house/,Former Makerere University ICT director evicted from house,The Observer
"Disputes relating to technical aspects of a contract, such as the need for a specific test or service, or whether the specifications of a product have been met, as well as financial disputes or operational costs, are well-suited to expert determination.",contract_management_failure,0.6324073967189721,2023-04-27,https://observer.ug/business/protecting-investments-through-project-agreements-key-contractual-provisions-to-consider/,Protecting investments through project agreements: Key contractual provisions to consider,The Observer
The contract was terminated.,contract_management_failure,0.6319079945474324,2022-07-12,https://observer.ug/business/sgr-development-in-uganda-why-the-delay/,SGR development in Uganda: Why the delay?,The Observer
"They brought up a lot of legal issues that they have a contract with the union,” he said.",contract_management_failure,0.6302798071278223,2017-11-24,https://observer.ug/business/umeme-workers-demand-probe-into-millions-to-workers-union/,Umeme workers demand probe into millions to workers union,The Observer
GENESIS OF DISPUTE The trouble began in 2022 when Ugandan firm Plinth Technical Services partnered with Eswatini’s Inyatsi Construction Ltd.,contract_management_failure,0.6295840548753823,2025-11-12,https://observer.ug/news/how-bungled-shs-86bn-project-caused-sacking-of-eswatini-consul-to-uganda/,How bungled Shs 86bn project caused sacking of Eswatini consul to Uganda,The Observer
"They, however, add that the termination was a harsh move since the management could even opt for temporary suspension of contractual payments so that staff don’t have to reapply for the same jobs in the future.",contract_management_failure,0.6286288911240674,2020-04-19,https://observer.ug/news/nas-lays-off-redundant-staff-following-entebbe-airport-closure/,NAS lays off redundant staff following Entebbe airport closure,The Observer
Or so it seems until one of the intrinsic dangers of such an arrangement – termination of the employee’s job contract – strikes.,contract_management_failure,0.6261605397552535,2020-07-29,https://observer.ug/business/court-decision-on-salary-loans-could-rattle-financial-market/,Court decision on salary loans could rattle financial market,The Observer
"That following a dispute arising out of the agreement, the respondent/claimant filed a claim before the arbitration tribunal on December 2, 2021, and that contrary to the clear provisions of the agreement, the parties by consent purported to amend clause 25.4.1 of the special conditions of contract which distinctly provide for the procedure on how the chairperson of the tribunal should be appointed.",contract_management_failure,0.6238951182257404,2024-01-30,https://observer.ug/news/high-court-quashes-shs-680m-award-in-entebbe-airport-case/,High court quashes Shs 680m award in Entebbe airport case,The Observer
"But the interim board of directors decided to terminate his contract because the allegations against him were substantial and he was found culpable.” Muleya, Wamara, and other affected staff by the time of filing this report had not yet commented about this development.",contract_management_failure,0.6237722382571586,2022-02-21,https://observer.ug/news/govt-terminates-contract-of-uganda-airlines-ceo/,Govt terminates contract of Uganda Airlines CEO,The Observer
"It was this disagreement, that put paid to Ayiko’s time at KCCA and Mutebi sanctioned the termination of his contract.",contract_management_failure,0.6223794145166609,2018-09-04,https://observer.ug/sports/kcca-pays-shs-30m-in-player-compensation/,KCCA pays Shs 30m in player compensation,The Observer
"This is in line with the principle of restutio in integrum, which seeks to restore a person to a position they would have been in had the breach, in this case unfair termination, not happened.",contract_management_failure,0.6215425511312372,2020-07-29,https://observer.ug/business/court-decision-on-salary-loans-could-rattle-financial-market/,Court decision on salary loans could rattle financial market,The Observer
Okullo sued for $19.3 million in damages for breach of contract.,contract_management_failure,0.6214998293176669,2025-09-16,https://observer.ug/news/supreme-court-orders-govt-to-pay-dr-okullo-790000-shs-500m-in-damages/,"Supreme court orders gov’t to pay Dr Okullo $790,000, Shs 500m in damages",The Observer
"TERMINATION/DISPUTES On August 3, 2024, Inyatsi notified the ministry of its intention to terminate the contract due to the latter’s failure to release more money in time and eventually slowed down works.",contract_management_failure,0.6203826795440212,2024-12-04,https://observer.ug/news/stalled-world-bank-project-puts-contractor-on-the-spot/,Stalled World Bank project puts contractor on the spot,The Observer
"This ought to be the position regardless of whether the termination of the employment contract is subsequently found to have been fair, unfair or even unlawful.",contract_management_failure,0.6188238782412087,2020-07-29,https://observer.ug/business/court-decision-on-salary-loans-could-rattle-financial-market/,Court decision on salary loans could rattle financial market,The Observer
"It’s our concern because every time citizens’ complaints are raised about Umeme’s bad services, parliament or Gen Salim Saleh recommends termination of its contract.",contract_management_failure,0.6181551115800812,2018-04-18,https://observer.ug/viewpoint/your-mail-abandoning-hiv-aids-patients-is-inhumane-criminal/,"Your mail: Abandoning HIV/Aids patients is inhumane, criminal",The Observer
He was given a two-year contract.,contract_management_failure,0.6173694186628352,2025-04-17,https://observer.ug/sports/misfiring-kcca-who-is-to-blame/,Misfiring KCCA: Who is to blame?,The Observer
"In February 2022, the Works and Transport ministry permanent secretary terminated Muleya’s contract forcing him to file a complaint with Wakiso District Labour Office on April 4 citing unlawful termination of his contract.",contract_management_failure,0.6171428248067286,2022-10-31,https://observer.ug/news/former-uganda-airlines-ceo-acquitted-by-buganda-road-court/,Former Uganda Airlines CEO acquitted of disobeying IGG summons,The Observer
The judge further dismissed prosecution arguments that Byandala directed his then junior minister Eng John Byabagambi to formalize a sub contract that Eutaw issued to Chongqing international construction company contrary to the IGG’s earlier directives.,contract_management_failure,0.616466388004514,2018-08-29,https://observer.ug/news/byandala-acquitted-of-corruption-in-katosi-road-scam/,Byandala acquitted of corruption in Katosi road scam,The Observer
"“There was a lot of conflict of interest in the matter and therefore government needed to terminate the contract with SGS,” Nandala-Mafabi said.",contract_management_failure,0.616455350080878,2018-05-03,https://observer.ug/news/ag-gives-green-light-to-sgs-vehicle-inspection-contract/,AG gives green light to SGS vehicle inspection contract,The Observer
