sample_id,source,publication_date,title,sentence,coder1_label,coder2_label,adjudicated_label,adjudicator_notes
OBS_GS_009363,The Observer,2017-12-05,Prosecutors strike should not delay trials,"So, it appears that only accused persons with cases where government has an interest can be heard at the moment.",,,,
OBS_GS_021153,The Observer,2019-07-26,Gov’t supervisor declines to hand over Lubowa hospital office,"In a letter dated July 2, Atwine advised that the ministry of Health had no intention to renew Wakabi’s engagement as the owner’s engineer considering that the said contract had no option of renewal.",,,,
OBS_GS_002433,The Observer,2020-01-03,Kitaka’s 2020 master plan for Kampala infrastructure,Do you let the road become impassable because you are waiting for big money to rehabilitate it or should you keep it motorable by applying some patches?,,,,
OBS_GS_023127,The Observer,2017-09-29,"Marriage to Chinese paved way for eviction of 1,400 in Mubende","Kyohaire: Yes, I only made a mistake in years.",,,,
OBS_GS_023016,The Observer,2017-09-29,"Marriage to Chinese paved way for eviction of 1,400 in Mubende",Byenkya: What do you know about him?,,,,
OBS_GS_014096,The Observer,2021-07-05,Works warns motorists against defying travel ban,What I saw was not lockdown state of affairs.,,,,
OBS_GS_006865,The Observer,2021-11-22,Makerere launches project to decolonize archives,He categorized archiving as a public good and a public resource that ought to be accessed and used by anyone.,,,,
OBS_GS_023980,The Observer,2019-05-12,Stolen Katosi road money transferred to USA – IGG,"The official said “as the IG, we say give us information and we clean it if you insist we have been infiltrated.” In their communique, the heads of anti-corruption agencies in Africa called for multi-agency team work in implementation of anti-corruption strategies.",,,,
OBS_GS_014009,The Observer,2021-09-20,Angry PM Nabbanja terminates Shs 1.8bn Kyegegwa road contract,I don’t know if it’s your district or another one.,,,,
OBS_GS_023711,The Observer,2017-09-06,Traders lose Shs 4.3tn annually in road transportation costs,Only five per cent is by railway.,,,,
OBS_GS_001136,The Observer,2020-08-06,Tourism players decry airport closure,"In 2019, Uganda registered 1.6m guests.",,,,
OBS_GS_021242,The Observer,2024-07-31,‘MultiChoice Talent Factory unschooled and reschooled me in sound’,"Since returning, Mafayo has been the sound recordist for Fulltime Husband, Somewhere in Kole, and Enigmatic Mark, all 2024 productions.",,,,
OBS_GS_016213,The Observer,2025-05-14,Odoch rises from a village technical school to become a global engineer,"According to Odoch, some classrooms were demolished by officials from the Education ministry under the promise of a World Bank-funded rebuilding project that hasn’t materialized.",,,,
OBS_GS_020121,The Observer,2021-12-26,"Oil pipeline: Masaka residents cry foul, demand better compensation",He says they raised complaints about the general figure during the resettlement action plan disclosure but Total declined to provide details.,,,,
OBS_GS_005294,The Observer,2017-10-13,Land probe: NFA boss admits illegal activity in Gulu reserve,"Mugisa: Yes, the establishments are there, including a hostel and construction of a faculty of medicine [is underway].",,,,
OBS_GS_007986,The Observer,2018-07-20,Kagina: All contracts below Shs 45bn reserved for locals,The law on procurement is changing.,,,,
OBS_GS_022359,The Observer,2022-08-23,Price of building materials creates housing headache,"“During my last project, the contractor stopped me from coming to work because he didn’t have enough money to buy building materials.",,,,
OBS_GS_006978,The Observer,2017-03-27,IGG causing financial loss on Mukono-Katosi road – lawyer,Government ombudsman Irene Mulyagonja suspended the Mukono-Katosi road contract after discovering irregularities in the award of the tender.,,,,
OBS_GS_009797,The Observer,2022-01-26,How Sembuya built Sembule from a small hardware shop,"They had earlier on July, 1967 applied for Wire Nail manufacturing plant temporary permission to Mengo Municipality Council following approval from the ministry of Commerce and Industries in the same year.",,,,
OBS_GS_019834,The Observer,2020-09-16,"Isimba dam Chinese contractor, govt in $42m payment dispute","However, UEGCL insists the money was withheld because they found over 700 defects on the completed dam which the contractor has not rectified to date.",,,,
OBS_GS_002380,The Observer,2017-02-17,"Oil bonanza probe: officials claim they worked long hours, have ‘special’ skills","Asked whether this is not part of his usual work, Atoke said it was only that this time he worked longer hours.",,,,
OBS_GS_021599,The Observer,2023-08-16,Protracted land dispute in Mukono leaves security in a spot of bother,"The said Plot 9 on Block 494, Kyaggwe, measuring seven acres, is claimed by both Jackson Twinamasiko, a businessman in Mukono, and Maj Mark Wanyama, a senior UPDF officer.",,,,
OBS_GS_009920,The Observer,2021-05-11,"Govt set to fully repossess, capitalize National Housing","On “ Develop a National Physical Development Plan (NPDP) ”, Uganda’s first National Physical Development Plan has been finalized with a comprehensive implementation strategy and awaits Cabinet approval.",,,,
OBS_GS_021558,The Observer,2021-12-08,Civil Aviation bans airport staff from using mobile phones while on duty,"In a circular to the general managers of DAS, NAS/ENHAS, the principal immigration officer, all airline station managers, site manager trend events, and site manager A&M Cleaning Company Ltd, Emmanuel Barungi, the general manager Entebbe airport says that “it has been noted with concern that the use of personal phones and other devices by airport staff while on duty has continued unabated despite consequent security and safety concerns.” Close to 2,000 staff work at the airport.",,,,
OBS_GS_024219,The Observer,2024-06-05,Good practices for managing safety and traffic flow during road construction,"Provision of Blockages/Barriers Effective use of barriers on construction sites is crucial as they limit or prevent access to work areas, expressed in the likelihood with risk of exposure to hazardous chemicals, falling objects, etc.",,,,
OBS_GS_009726,The Observer,2023-04-27,Protecting investments through project agreements: Key contractual provisions to consider,"Investors in developing countries are faced with political sovereign risks that can jeopardize the viability of their projects through policy changes, civil unrest, or asset expropriation.",,,,
